# mapping_set_id: https://github.com/bridgedb/tiwid/raw/refs/heads/main/artifacts/tiwid.sssom.tsv
# mapping_set_description: This Is Where Identifiers Die
# license: https://creativecommons.org/publicdomain/zero/1.0/
# curie_map:
#   cas: https://commonchemistry.cas.org/detail?cas_rn=
#   CHEBI: http://purl.obolibrary.org/obo/CHEBI_
#   chemspider: https://bioregistry.io/chemspider:
#   ensembl: https://www.ensembl.org/id/
#   hgnc.symbol: https://www.genenames.org/data/gene-symbol-report/#!/symbol/
#   hmdb: http://www.hmdb.ca/metabolites/
#   IAO: http://purl.obolibrary.org/obo/IAO_
#   lipidmaps: http://www.lipidmaps.org/data/LMSDRecord.php?LMID=
#   molmedb: https://molmedb.upol.cz/mol/
#   omim: https://omim.org/MIM:
#   pmc: http://europepmc.org/articles/
#   ppr: https://europepmc.org/article/ppr/
#   pubchem.compound: https://pubchem.ncbi.nlm.nih.gov/compound/
#   pubmed: https://bioregistry.io/pubmed:
#   uniprot: http://purl.uniprot.org/uniprot/
#   wikidata: http://www.wikidata.org/entity/
#   wikipathways: http://www.wikipathways.org/instance/
subject_id	predicate_id	object_id	mapping_justification	mapping_date	author_id
lipidmaps:LMFA01050116	IAO:0100001	lipidmaps:LMFA02000157	semapv:ManualMappingCuration		
lipidmaps:LMFA01050119	IAO:0100001	lipidmaps:LMFA02000158	semapv:ManualMappingCuration		
lipidmaps:LMFA01050120	IAO:0100001	lipidmaps:LMFA02000159	semapv:ManualMappingCuration		
lipidmaps:LMFA01050123	IAO:0100001	lipidmaps:LMFA02000160	semapv:ManualMappingCuration		
lipidmaps:LMFA01050126	IAO:0100001	lipidmaps:LMFA02000161	semapv:ManualMappingCuration		
lipidmaps:LMFA01050127	IAO:0100001	lipidmaps:LMFA02000162	semapv:ManualMappingCuration		
lipidmaps:LMFA01050128	IAO:0100001	lipidmaps:LMFA02000163	semapv:ManualMappingCuration		
lipidmaps:LMFA01050129	IAO:0100001	lipidmaps:LMFA02000164	semapv:ManualMappingCuration		
lipidmaps:LMFA01050130	IAO:0100001	lipidmaps:LMFA02000165	semapv:ManualMappingCuration		
lipidmaps:LMFA01050131	IAO:0100001	lipidmaps:LMFA02000166	semapv:ManualMappingCuration		
lipidmaps:LMFA01050132	IAO:0100001	lipidmaps:LMFA02000167	semapv:ManualMappingCuration		
lipidmaps:LMFA01050133	IAO:0100001	lipidmaps:LMFA02000168	semapv:ManualMappingCuration		
lipidmaps:LMFA01050134	IAO:0100001	lipidmaps:LMFA02000169	semapv:ManualMappingCuration		
